method,k,silhouette,ARI,NMI,purity
Direct(X_fusion)+KMeans,10,0.0777282640337944,0.06188509388339834,0.1234447571908032,0.262375
PCA(50)+KMeans,10,0.08722268790006638,0.060776521610070855,0.11336973473677164,0.247875
PCA(2)+KMeans,10,0.3323841691017151,0.05907803132150229,0.12081251068160985,0.262
