method,param,silhouette,davies_bouldin
ConvVAE(audio)+KMeans,5.0,0.3497665822505951,0.9216794504094565
KMeans,5.0,0.1848354935646057,1.4311102579804487
Agglomerative,5.0,0.13008736073970795,1.6904950973320936
PCA+KMeans,5.0,0.04710070384463372,3.4245684243506873
DBSCAN,1.0,-0.3182956874370575,2.1785470212588813
