method,k,silhouette,ARI,NMI,purity
Direct(X_audio)+KMeans,10,0.09536702185869217,0.06094586900503812,0.11592509959902286,0.25375
AE(audio_latent8)+KMeans,10,0.161065474152565,0.0505327322885072,0.11158277639231574,0.240375
Direct(X_fusion)+KMeans,10,0.08669806271791458,0.061392220563367655,0.1163936109595241,0.254625
PCA(50)+KMeans,10,0.09383520483970642,0.06159631482718797,0.11660983620648008,0.255125
PCA(20)+KMeans,10,0.09477750211954117,0.06139705600788283,0.1162628635461961,0.254375
PCA(10)+KMeans,10,0.11374291032552719,0.05762087978104789,0.11228561010875043,0.252375
PCA(2)+KMeans,10,0.332543283700943,0.05952210454894171,0.12139402697547075,0.2635
