cluster_id,Blues,Classical,Country,Electronic,Folk,Hip-Hop,Jazz,Pop,R&B,Rock
0,0.19561815336463223,0.033646322378716745,0.19248826291079812,0.027386541471048513,0.202660406885759,0.04929577464788732,0.036776212832550864,0.10093896713615023,0.1267605633802817,0.03442879499217527
1,0.068125,0.02125,0.1075,0.11875,0.134375,0.238125,0.01625,0.075,0.13125,0.089375
2,0.0,0.42718446601941745,0.0,0.0,0.0,0.0,0.5728155339805825,0.0,0.0,0.0
3,0.0,0.521978021978022,0.0,0.0,0.0,0.0,0.47802197802197804,0.0,0.0,0.0
4,0.11867364746945899,0.030831878999418267,0.12216404886561955,0.1256544502617801,0.09889470622454916,0.11227457824316463,0.011052937754508435,0.1198371146015125,0.15066899360093078,0.1099476439790576
5,0.0,0.5028735632183908,0.0,0.0,0.0,0.0,0.49712643678160917,0.0,0.0,0.0
6,0.0024096385542168677,0.4819277108433735,0.0024096385542168677,0.0,0.00963855421686747,0.0024096385542168677,0.4963855421686747,0.004819277108433735,0.0,0.0
7,0.044326241134751775,0.005319148936170213,0.01773049645390071,0.2624113475177305,0.01773049645390071,0.0035460992907801418,0.0,0.25177304964539005,0.02304964539007092,0.374113475177305
8,0.14907275320970043,0.06918687589158345,0.10770328102710414,0.13052781740370897,0.08345221112696148,0.037803138373751786,0.08701854493580599,0.10984308131241084,0.08059914407988587,0.144793152639087
9,0.006993006993006993,0.04195804195804196,0.03496503496503497,0.0979020979020979,0.08741258741258741,0.3741258741258741,0.006993006993006993,0.16433566433566432,0.15034965034965034,0.03496503496503497
